tick,event,atm_min,atm_max,atm_mean,wave_p_min,wave_p_max,fire_max,smoke_max,wave_source_max
270,,1.4555,1.5795,1.5616,0.0000,1.3328,1.0000,1.0000,0.0009
271,,1.4622,1.5867,1.5688,0.0000,1.3327,1.0000,1.0000,0.0009
272,,1.4689,1.5940,1.5759,0.0000,1.3327,1.0000,1.0000,0.0009
273,,1.4756,1.6012,1.5831,0.0000,1.3327,1.0000,1.0000,0.0009
274,,1.4823,1.6085,1.5903,0.0000,1.3327,1.0000,1.0000,0.0009
275,,1.4890,1.6157,1.5974,0.0000,1.3326,1.0000,1.0000,0.0009
276,,1.4957,1.6229,1.6046,0.0000,1.3326,1.0000,1.0000,0.0009
277,,1.5024,1.6302,1.6118,0.0000,1.3326,1.0000,1.0000,0.0009
278,,1.5092,1.6374,1.6189,0.0000,1.3325,1.0000,1.0000,0.0009
279,,1.5159,1.6446,1.6261,0.0000,1.3325,1.0000,1.0000,0.0009
280,,1.5227,1.6519,1.6332,0.0000,1.3325,1.0000,1.0000,0.0009
281,,1.5294,1.6591,1.6404,0.0000,1.3325,1.0000,1.0000,0.0009
282,,1.5362,1.6663,1.6476,0.0000,1.3325,1.0000,1.0000,0.0009
283,,1.5430,1.6735,1.6547,0.0000,1.3325,1.0000,1.0000,0.0009
284,,1.5497,1.6808,1.6619,0.0000,1.3325,1.0000,1.0000,0.0009
285,,1.5565,1.6880,1.6691,0.0000,1.3325,1.0000,1.0000,0.0009
286,,1.5633,1.6952,1.6762,0.0000,1.3325,1.0000,1.0000,0.0009
287,,1.5701,1.7024,1.6834,0.0000,1.3325,1.0000,1.0000,0.0009
288,,1.5769,1.7096,1.6906,0.0000,1.3325,1.0000,1.0000,0.0009
289,,1.5837,1.7168,1.6977,0.0000,1.3325,1.0000,1.0000,0.0009
290,,1.5905,1.7240,1.7049,0.0000,1.3325,1.0000,1.0000,0.0009
291,,1.5973,1.7312,1.7121,0.0000,1.3325,1.0000,1.0000,0.0009
292,,1.6041,1.7384,1.7192,0.0000,1.3325,1.0000,1.0000,0.0009
293,,1.6110,1.7457,1.7264,0.0000,1.3325,1.0000,1.0000,0.0009
294,,1.6178,1.7529,1.7336,0.0000,1.3325,1.0000,1.0000,0.0009
